School,Program,Level,Added on,Decision,GPA,GRE V,GRE Q,GRE AW,Comment
ETH Zurich,Computer Science,Masters,"March 02, 2022",Accepted,,,,,
ETH Zurich,Computer Science,Masters,"March 02, 2022",Accepted,,168,,5.00,MSc CS - from old IIT; GPA-9.42/10; one year of research experience at the time of application; no publications.
ETH Zurich,Computer Science,Masters,"March 02, 2022",Rejected,3.70,,,,"Got an email to check the portal. Italian student from Politecnico di Milano, top 8%."
ETH Zurich,Computer Science,Masters,"March 02, 2022",Rejected,3.85,153,,4.00,"Little research/good TA experience, no published papers, good LoRs. Hayırlısı diyelim"
ETH Zurich,Computer Science,Masters,"June 15, 2021",Accepted,3.84,,,,- Romanian university (UPB) - No GRE - Applied in second round
ETH Zurich,Computer Science,Masters,"June 15, 2021",Accepted,3.92,162,,4.00,"Italian student from Politecnico di Milano. Few research experience, but high GPA, good LOR and previous experience as Teaching Assistant"
ETH Zurich,Computer Science,Masters,"June 10, 2021",Accepted,,159,,4.00,BSc Computer Science from KCL. Expected First with Honours. GRE: 166Q/159V. Research experience over the summer; worked as a Teaching Assistant for 3 courses.
ETH Zurich,Computer Science,Masters,"June 10, 2021",Accepted,3.90,160,,4.00,Currently finishing BSc CS at an average German University (QS-Ranking 200-250). High preliminary GPA (1.1 where 1 is best and 4 is minimum pass grade). GRE 169(Q)/160(V)/4.0(AW). IELTS 8/9. Finished one semester faster than standard duration of studies. Some research experience from writing the thesis (worth 6+12 ECTS) and a 2 week research internship during high school. Some related professional experience as a student employee (4h/week).
ETH Zurich,Computer Science,Masters,"June 10, 2021",Accepted,,,,,"Masters degrees in humanities (Cambridge) and BSc CS from one of the top German universities. Grades very good but not perfect either. Research experience, several internships."
ETH Zurich,Computer Science,Masters,"March 18, 2021",Rejected,3.50,167,,4.50,Princeton undergrad. Decent grades and GRE but no publication. REALLY disappointed! Already got into UC Berkeley anyway ...
ETH Zurich,Computer Science,Masters,"March 09, 2021",Rejected,,161,,4.00,"Unfortunately rejected by CS while mercifully admitted by CybSec. Undergrad from top 4 university in China. I switched my major in freshman year, and GPA is great ever since. 2 strong LoRs and 1 paper under submission when applying. Fine GRE and Motivation Letter. Not sure whether it's my GPA of the former major that dragged me down, or it's just that the CS program is much too competitive this year. Rejection letter the same as someone posted below on March 1. Congratulations to those admitted by CS!"
,,,,,,,,,
ETH Zurich,Computer Science,Masters,"March 05, 2021",Accepted,4.00,,,,"Undergraduate at top Dutch university. 9.0/10 GPA, TA, and a number of extra courses/other extracurriculars. Mediocre SoP, great LoRs."
ETH Zurich,Computer Science,Masters,"March 05, 2021",Accepted,,,,,IIT graduate. High GPA.
ETH Zurich,Computer Science,Masters,"March 01, 2021",Rejected,,,,,"3.78 GPA, Average GRE, Strong SOP and LORs. I was really hoping for this one. Ah well..."
ETH Zurich,Computer Science,Masters,"March 01, 2021",Accepted,,,,,"Rejected from Direct Doctorate, accepted to Master via mail saying to check website. Top 10% from EPFL, good SoP, average LoR, poor research experience."
ETH Zurich,Computer Science,Masters,"March 20, 2020",Accepted,,,,,Did any of you receive your official letter by mail?
ETH Zurich,Computer Science,Masters,"March 18, 2020",Other,,,,,Is there any group for MS admits?
ETH Zurich,Computer Science,Masters,"March 13, 2020",Other,,,,,Just a query: Where should I go if I want to pursue a PhD from a top 10 school in the USA later? UCSD for an MS or ETH for an MSc in CS?
ETH Zurich,Computer Science,Masters,"March 13, 2020",Other,,,,,TTPB: I got a separate email telling me that my application for ESOP was denied one day before the acceptance.
ETH Zurich,Computer Science,Masters,"March 12, 2020",Accepted,3.80,159,,3.50,"Didn't get into the direct doctorate, however got into the MSc. Didn't get ESOP either. I don't know if I will be able to attend, anyone knows of any other funding options? (stats are mentioned in this post, click on stats icon. Last name starts with W)"
ETH Zurich,Computer Science,Masters,"March 12, 2020",Accepted,3.78,156,,4.00,"Applied for Direct Doc, got rejected, offered MSCS admit. Does anyone know what is the funding situation in this case? Received email from Elisabetta Miceli at 12:45 CEST."
,,,,,,,,,
ETH Zurich,Computer Science,Masters,"March 11, 2020",Accepted,3.72,,,,"applied for the direct doctorate program, only a master offer."
ETH Zurich,Computer Science,Masters,"March 11, 2020",Accepted,,,,,Applied to the CS Direct Doctorate. Interviewed by a POI in February. Ended with this Master offer.
ETH Zurich,Computer Science,Masters,"March 11, 2020",Accepted,,,,,Do we have a group for the ETH 2020 admits?
ETH Zurich,Computer Science,Masters,"March 10, 2020",Other,,,,,"Guys, ESOP results are out! All the best!"
ETH Zurich,Computer Science,Masters,"March 02, 2020",Accepted,,,,,Undergraduate from China with high GPA and rank. My withdraw button disappeared two weeks ago and reappeared two days after disappearing. I received the admission this morning in UTC-6 8:00.
ETH Zurich,Computer Science,Masters,"February 25, 2020",Accepted,,,,,"Nothing about ESOP, will have to decline without it"
ETH Zurich,Computer Science,Masters,"February 25, 2020",Accepted,,,,,"Happy to have been admitted, but have not yet heard anything about ESOP, which I would need to afford living in Zurich."
ETH Zurich,Computer Science,Masters,"March 23, 2013",Accepted,3.57,162,,3.00,
ETH Zurich,Computer Science,Masters,"March 02, 2013",Accepted,3.62,155,,3.50,
ETH Zurich,"Computer Science (CS), MS",Masters,"February 06, 2012",Accepted,4.00,146,,3.50,R&D at one of Fortune 500 companies; High GPA/Low GRE; A number of research and other projects; Very good recommendations and SOP (as I understand)
,,,,,,,,,
ETH Zurich,Computer Science,Masters,"February 18, 2011",Rejected,,,,,
ETH Zurich,Computer Science,Masters,"March 05, 2008",Accepted,,,,,@the other guy who got admit. did you apply for excellence schol? any word?
ETH Zurich,Computer Science,Masters,"March 05, 2008",Accepted,,,,,"In the coming weeks, we are going to send you an official letter with more detailed information and instructions on how to accept your place. Please wait for receipt of this letter before asking further questions, as it will contain most of the answers. We are going to send the letter as soon as possible."
ETH Zurich,(Computer Science - Data Science,Masters,"November 30, 2001",Rejected,,161,,,2 years relevant corporate work experience (but no publications and research experience). Decent GPA but not top 20% of graduating class.
ETH Zurich,(Computer Science - Data Science,Masters,"November 30, 2001",Accepted,4.00,,,,"BSc in Cognitive Science from german uni (2 of the official prerequisites courses are missing in my undergrad. I explained how I fulfil the rest of the prerequisites as a comment on the application), top 5% of my class, 9 month research in slightly unrelated field, no publications, strong recommendations."
ETH Zurich,(Computer Science - Data Science),Masters,"November 30, 2001",Accepted,,,,,
ETH Zurich,ESOP(Computer Science - Data Science),Masters,"November 30, 2001",Accepted,,,,,ESOP application accepted
ETH Zurich,MSc Computer Science,Masters,"November 30, 2001",Other,,,,,Withdraw button disappeared on 26th Feb
Eth Zurich,Computer Science,Masters,"November 30, 2001",Rejected,3.96,147,,3.00,"1 Research Publication, 1 year work Experience. Highly Dissappointed. Wasn't expecting this."
ETH Zurich,Computer Science,Masters,"November 30, 2001",Accepted,,,,,"top 10% in my class, foreign degree, first place on many contests, no publications, no work experience. No word on scholarship yet."
,,,,,,,,,
ETH Zurich,Computer Science Information Security,Masters,"November 30, 2001",Rejected,,,,,"Expected that, but an email with no reasons it's like a punch of gratitude for an offered cigarette"
ETH Zurich,Computer Science,Masters,"November 30, 2001",Rejected,,,,,Distributed Systems Track
ETH Zurich,Computer Science,Masters,"November 30, 2001",Rejected,3.67,,,,
ETH Zurich,Computer Science,Masters,"November 30, 2001",Accepted,3.95,,,,"From the field of Electrical Engineering and Information Technology. Unknown university in Eastern European country. Bachelor's with GPA 3.95/4.0, Master's GPA 4.0/4.0. 2 publications, 1 international conference. Medalist of 4 national and international competitions in CS and Infrom. technology fields. 4 years of R&D computer-vision-related experience in industry. Good extracurriculars. Outstanding LORs. No GRE."
ETH Zurich,Computer Science,Masters,"November 30, 2001",Accepted,3.91,,,,Had an interview for the ESOP in February and was notified that I received one on March 14.
ETH Zurich,Computer Science,Masters,"November 30, 2001",Other,,,,,"To the poster below: No later than 15th March (they say so in the ""Application Schedule"" tab)."
ETH Zurich,(Computer Science,Masters,"November 30, 2001",Accepted,,,,,
ETH Zurich,(Computer Science,Masters,"November 30, 2001",Rejected,,,,,
ETH Zurich,(Computer Science),Masters,"November 30, 2001",Rejected,3.85,161,,4.50,"Top 20 American University, 2 Excellent letters of rec, first author paper"
ETH Zurich,Computer Science,Masters,"November 30, 2001",Rejected,2.66,,,,rejected via email.
,,,,,,,,,
ETH Zurich,Computer Science,Masters,"November 30, 2001",Accepted,,,,,Has anyone from CS receieved a positive answer for their ESOP/MSP application?
ETH Zurich,Computer Science - General,Masters,"November 30, 2001",Accepted,4.00,,,,European bachelor's degree with two strong letters of recommendation. Did not do a GRE.
ETH Zurich,(Computer Science,Masters,"November 30, 2001",Other,,,,,Does eApply withdraw button disappear for both accepted people and rejected people?
ETH Zurich,Computer Science,Masters,"November 30, 2001",Accepted,3.96,159,,4.00,"Ahhhhhh finally came!!! Good grades, no research experience/publications. Didn't apply for the scholarship though."
ETH Zurich,(Computer Science ),Masters,"November 30, 2001",Accepted,3.96,158,,4.00,
ETH Zurich,Computer Science,Masters,"November 30, 2001",Accepted,,,,,
ETH Zurich,(Computer Science ),Masters,"November 30, 2001",Accepted,3.81,157,,4.00,Finally...3rd admission. Now there is a hard choice to make. Good luck everyone!
ETH Zurich,"Computer Science - Master, General CS",Masters,"November 30, 2001",Accepted,,,,,"Decent GPA, multiple internships, no research. Congrats to everyone!"
ETH Zurich,(Computer Science ) General,Masters,"November 30, 2001",Accepted,3.97,153,,3.00,"British undergraduate degree, 81/100"
ETH Zurich,Computer Science,Masters,"November 30, 2001",Accepted,,,,,"I meant ETH Zurich not Princeton, the question still stands though, any info about the excellence scholarship?"
,,,,,,,,,
ETH Zurich,(Computer Science ),Masters,"November 30, 2001",Accepted,3.85,,,,"no publication, 1 year work experience"
ETH Zurich,(Computer Science ) General,Masters,"November 30, 2001",Accepted,,,,,"EE->CS, good university and good gpa, lots of cs and math courses with high grades."
ETH Zurich,(Computer Science ) MS,Masters,"November 30, 2001",Accepted,3.60,170,,3.00,still no information about ESOP. Good luck to everyone
ETH Zurich,Computer Science,Masters,"November 30, 2001",Accepted,3.90,156,,3.50,I am one of the best CS students of my school. Two research papers in preparation. Two very strong letter of recommendation (one by a teacher from Germany and one from the head of the CS department of my school) Competitive programmer. Still no answer from ESOP (but I submitted a really well thought thesis proposition so I think I have my chances).
ETH Zurich,(Computer Science,Masters,"November 30, 2001",Accepted,3.96,158,,4.00,ESOP accept :)
ETH Zurich,(Computer Science,Masters,"November 30, 2001",Other,,,,,"Replying to the question below: I got the MS admit notification on Mar 7 and ESOP notification on Mar 9, both by email."
ETH Zurich,Computer Science,Masters,"November 30, 2001",Other,,,,,To the poster below could you please identify your track? thanks
ETH Zurich,(Computer Science,Masters,"November 30, 2001",Accepted,,,,,"Received the decision today. However, I did not receive an email. Very high grades + internships at big companies. Track: Software Engineering"
ETH Zurich,Computer Science,Masters,"November 30, 2001",Other,,,,,Withdraw button disappeared.
ETH Zurich,Computer Science,Masters,"November 30, 2001",Other,,,,,Withdraw button disappeared too. No reply about ESOP/MSOP.
,,,,,,,,,
ETH Zurich,Computer Science,Masters,"November 30, 2001",Other,,,,,Is it the case that for the applicants whose withdraw button has disappeared are likely to get a rejection mail. As the trend in the forum suggests the same.Anyone with an exception at ETH whose withdraw button was disappeared but got accepted ?
ETH Zurich,Computer Science,Masters,"November 30, 2001",Other,,,,,"I think the withdraw button disappearing means that they processed your application and you can't withdraw it anymore. I doubt it is an indicator of acceptance/rejection, just that you're going to get results soon."
ETH Zurich,Computer Science,Masters,"November 30, 2001",Other,,,,,Withdraw button disappeared. Not sure if it's an indication of anything.
ETH Zurich,Computer Science,Masters,"November 30, 2001",Other,,,,,Reply below. Disappearance of withdraw button only means that the result of your application will come out soon(under review). My Observation: Rejections come earlier than Admissions. If your button disappears but you dont get any notification now. It still the good news then wait and pray. If admission you will get the email but sometimes the emaill could also come late after admission and the withdraw button will show again.
ETH Zurich,Computer Science,Masters,"November 30, 2001",Accepted,,,,,Withdraw button disappeared and then I got a response on the same day. No info about ESOP/MSP.
ETH Zurich,Computer Science,Masters,"November 30, 2001",Accepted,,,,,
ETH Zurich,Computer Science,Masters,"November 30, 2001",Other,,,,,Where can I find the withdraw button in the application portal? Do you mean in https://www.lehrbetrieb.ethz.ch/eApply/ ?
Eth Zurich,Computer Science,Masters,"November 30, 2001",Accepted,,,,,"Great grades, good letters of recommendation and SOP"
ETH Zurich,Computer Science,Masters,"November 30, 2001",Rejected,,,,,
ETH Zurich,Electrical And Computer Engineering,Masters,"March 10, 2020",Accepted,,,,,"To admitted students at ETH, did anybody received the acceptance letter?"
,,,,,,,,,
ETH Zurich,Data Science,Masters,"March 26, 2025",Rejected,3.85,,,,
ETH Zurich,Biology,Masters,"March 25, 2025",Accepted,4.00,,,,
ETH Zurich,"Robotics, Systems, and Control",Masters,"March 25, 2025",Accepted,4.00,,,,"ESOP awarded. Top of class at a semi-no-name university in eastern Europe. Co-authored 2 Q1 journal papers in the field of robotics and control engineering, work experience in automotive control, several side projects and extracurricular courses in robotics and embedded systems. Former participant in an international Olympiad."
ETHZ - ETH Zurich,Biology,Masters,"March 25, 2025",Accepted,3.80,,,,"1.2/1.0 German GPA, ranked 1/~120. University ranked in the top 10 nationally/around top 100 globally for my discipline. One short internship, no publication, LoRs probably average. Applied for Molecular Mechanisms of Disease (first choice) and Biochemistry (second choice), got in for my first choice."
ETH Zurich,Bioinformatics and Computational Biology,Masters,"March 12, 2025",Accepted,,,,,
ETH Zurich,History and Philosophy of Knowledge,Masters,"March 12, 2025",Accepted,3.00,,,,Dreams do come true!
ETH Zurich,Mechanical Engineering,Masters,"March 12, 2025",Rejected,3.90,,,4.00,
ETH Zurich,Electrical Engineering,Masters,"March 04, 2025",Rejected,,,,,"2.2 GPA German Grade, TU9 uni, one year exchange at TOP 15 University (QS), internship at DAX company"
ETH Zurich,Pure Mathematics,Masters,"March 04, 2025",Accepted,1.17,,,,GPA in Austrian Grading System
ETH Zurich,Integrated Building Systems (MIBS),Masters,"March 04, 2025",Accepted,,,,,"BSc in Architecture Engineering (Italian University, GPA 28.4/30), no publications, no relevant experience abroad (except for a short summer school). Ranked first in the Department of Architecture according to the merit ranking for a scholarship at my university. (No additional requirements requested in the acceptance letter)"
,,,,,,,,,
ETH Zurich,MTEC,Masters,"March 04, 2025",Rejected,4.00,,,,
ETH Zurich,MTEC,Masters,"March 04, 2025",Accepted,,,,,
ETH Zurich,Mathematics,Masters,"March 04, 2025",Rejected,3.94,,,,
ETH Zurich,Health Science and Technology,Masters,"March 19, 2024",Accepted,4.00,152,,5.00,
ETH Zurich,Electrical Engineering,Masters,"March 19, 2024",Accepted,3.93,,,,
ETH Zurich,Earth Sciences,Masters,"March 19, 2024",Accepted,4.00,,,,"2 Research assistant experiences (one in the National Academy of Sciences and the other in Research and Development center). Finalist/Winner of multiple competitions (both national and international) like Enactus, AUF, Hacking Competitions, etc. Multiple SPE and TPA courses certifications, IELTS 8.0. No GRE. Also many volunteering experiences that involved mentoring/coordinating."
ETH Zurich,Civil Engineering,Masters,"March 19, 2024",Accepted,3.31,,,,
ETH Zurich,Statistics,Masters,"March 19, 2024",Accepted,4.00,165,,5.50,"Math and economics undergrad from large US university. Two internships, research/TA at university, one-year experience at a full-time job doing actuarial work"
ETH Zurich,Environmental Science,Masters,"March 18, 2024",Accepted,3.77,,,,
ETH Zurich,Mechanical Engineering,Masters,"March 05, 2024",Rejected,3.66,152,,3.50,
ETH Zurich,Electrical Engineering And Information Technology,Masters,"March 29, 2023",Accepted,3.76,157,,4.50,Top engineering program at top Canadian school. 2x summer research. ~1.5 year internship experience in FPGA/ASICs.
ETH Zurich,Robotics,Masters,"March 29, 2023",Accepted,,,,,Shengyang
ETH Zurich,Biomedical Engineering,Masters,"March 29, 2023",Accepted,3.60,,,,"BSc from ETHZ, 2 LoR from ETHZ Professors, Strong (?) SoP, 1 Internship, 2 Jobs as Research Assistant, No ESOP, No GRE"
ETH Zurich,Physics,Masters,"March 28, 2023",Accepted,,,,,"International, no GRE"
ETH Zurich,Atmospheric and Climate Science,Masters,"March 10, 2023",Accepted,3.50,,,,"From a top university in Hong Kong. 1 year research internship. CGPA 3.5/4.0 (major GPA 3.8/4.0). Strong LORs (I guess). No GRE. Automatically generated message said ""admission decision available"". So happy to be accepted as ETH is my dream school! Good luck everyone!!! :D"
ETH Zurich,"Robotics, Systems And Control",Masters,"March 10, 2023",Rejected,3.00,,,,Mechanical Engineering Bsc. at RWTH Aachen - Top 5 % - Exchange Semester at EPFL - Multiple Internships including in Autonomous Driving - a bit unexpected
ETH Zurich,Mechanical Engineering,Masters,"March 10, 2023",Accepted,,161,,4.00,"From well-known German uni, 1.7 GPA"
ETH Zurich,Mathematics,Masters,"March 10, 2023",Accepted,,,,,
ETH Zurich,Atmospheric and Climate Science,Masters,"March 10, 2023",Accepted,,,,,
ETH Zurich,Computational Science and Engineering,Masters,"March 10, 2023",Accepted,3.32,,,,
,,,,,,,,,
ETH Zurich,Computational Science and Engineering,Masters,"March 10, 2023",Accepted,3.83,,,,"No GRE, Mechanical Engineering and Physics double major undergrad from Turkey. TOEFL: 105. Was emailed to check the portal at 16.30 CET. No interviews."
ETH Zurich,Pure Mathematics,Masters,"February 07, 2023",Interview,3.80,,,,
ETH Zurich,Mechanical Engineering,Masters,"March 11, 2022",Rejected,,,,,Generic Rejection Letter
ETH Zurich,Electrical Engineering And Information Technology,Masters,"March 11, 2022",Accepted,3.90,161,,4.00,
ETH Zurich,Electrical Engineering And Information Technology,Masters,"March 10, 2022",Accepted,3.80,157,,5.00,
ETH Zurich,Biomedical Engineering,Masters,"March 10, 2022",Accepted,3.80,162,,5.00,Received email to check portal. Still waiting on ESOP funding.
ETH Zurich,Biomedical Engineering,Masters,"March 09, 2022",Accepted,,,,,
ETH Zurich,Computational Biology and Bioinformatics,Masters,"March 09, 2022",Accepted,,,,,"Internal applicant (ETH) from BSc Biology, applied in the first window. Swiss GPA 5.26/6.00. Strong research- and lab experience-focused SoP and a LoR from one of the program tutors."
ETH Zurich,Computational Biology,Masters,"March 09, 2022",Accepted,3.59,157,,4.00,"From a prestigious university in Korea. Double major in biosci & CSE, with BSc + BEng degrees expected but only mediocre GPA. 3 research experiences + 5 projects, a total of 3 yrs, leading 3 of them, but no publication when I applied. 1 part-time job at bio startup. Good motivation letter (showed the development of my research interest), 1 strong RoL from my current supervisor (ETH only explicitly asked 1 RoL so). Very happy to get accepted. No interview for ESOP though."
ETH Zurich,Data Science,Masters,"January 17, 2022",Accepted,4.00,155,,4.00,
ETH Zurich,Biomedical Engineering,Masters,"June 02, 2021",Accepted,,,,,
ETH Zurich,Cyber Security,Masters,"June 01, 2021",Accepted,3.81,,,,I am currently finishing my Bachelor's degree in Cyber Security with a GPA of 3.82 at top 200 university in Europe. 116/120 at TOEFL.
ETH Zurich,Electrical Engineering,Masters,"May 27, 2021",Accepted,3.30,,,,"Known German Technical University EE degree. Bad first year grades (3.0, but didn't count to gpa) much better grades afterwards. I chose electives only with regard to my focus on communication engineering: overall 1.7 GPA ,within the best 15%. I put much time for LOR and SOP, half year related industry experience + 1 university internship. IELTS 7.5 . I think my elective grades and my bachelor thesis made it possible. Good Luck for everyone :)"
ETH Zurich,"Management, Technology And Economics (MTEC)",Masters,"May 27, 2021",Accepted,3.50,,,,"Italian student from Politecnico di Milano, GPA 27.5/30, BSc Mechanical Engineering, No work exp., No research exp., did 6 months exchange in Gemany"
ETH Zurich,Physics,Masters,"May 26, 2021",Rejected,3.32,,,,Sad
ETH Zurich,"Management, Technology And Economics (MTEC)",Masters,"May 26, 2021",Rejected,3.50,,,,
ETH Zurich,Computational Biology and Bioinformatics,Masters,"May 21, 2021",Accepted,,,,,
ETH Zurich,Statistics,Masters,"May 21, 2021",Accepted,3.80,,,,"Did my undergrad at a Liberal Arts and Sciences school (honors, cum laude), major in mathematics, took quite some statistics courses (which I passed with really good grades), no GRE because I studied in Europe, strong letters of motivation & rec (I think)."
ETH Zurich,Statistics,Masters,"May 20, 2021",Accepted,3.95,161,,4.00,
ETH Zurich,Architecture,Masters,"March 12, 2021",Accepted,,,,,Non-EU applicant with German BA in Architecture. 2+ years arch employment
,,,,,,,,,
ETH Zurich,Applied Mathematics,Masters,"March 09, 2021",Rejected,,,,,Good luck everyone! :)
ETH Zurich,Environmental Engineering,Masters,"March 09, 2021",Accepted,3.70,161,,4.00,
ETH Zurich,Materials Science And Engineering,Masters,"March 09, 2021",Rejected,3.90,,,,"Thank you very much for having applied to our University. We regret to inform you that your application to the Materials Science MSc programme at ETH Zurich has not been successful. The admissions committee of the Department has carefully weighed the qualifications, competences and level of mastery you document in your application for admission to the Materials Science MSc programme against this programme's profile of requirements. Unfortunately, the committee has decided that your qualifications do not fulfil these requirements, and we must therefore refuse your request for admission. We are convinced that you will find an education programme suited to your specific background and wish you all the best for the future."
ETH Zurich,Pure Mathematics,Masters,"March 09, 2021",Accepted,,,,,Super happy!
ETH Zurich,Materials Science And Engineering,Masters,"March 09, 2021",Rejected,,,,,
ETH Zurich,Materials Science,Masters,"March 09, 2021",Rejected,3.86,162,,4.00,
ETH Zurich,Applied Mathematics,Masters,"March 09, 2021",Rejected,,,,,
ETH Zurich,"Management, Technology & Economics",Masters,"March 09, 2021",Accepted,,,,,"Bachelor in CS from ETH, average grades (~4.90). Apparently what matters most if you come from a BSc at ETH is the motivation letter, I tried to leverage on my background in CS. No LoR (not required for ETH applicants), no relevant work experience, somewhat relevant extracurriculars and took a course in management during the bachelor."
ETH Zurich,Physics,Masters,"March 09, 2021",Rejected,3.70,,,,
ETH Zurich,Chemistry,Masters,"March 09, 2021",Accepted,3.90,,,,
ETH Zurich,Chemistry,Masters,"March 09, 2021",Accepted,3.90,,,,
ETH Zurich,Computational Science and Engineering,Masters,"March 09, 2021",Rejected,,,,,"The admissions committee of the Department has carefully weighed the qualifications, competences and level of mastery you document in your application for admission to the Computational Science and Engineering MSc programme against this programme's profileof requirements. Unfortunately, the committee has decided that your qualifications do not fulfil these requirements, and we must therefore refuse your request for admission."
ETH Zurich,Mathematics,Masters,"March 09, 2021",Accepted,4.15,,,,"Received the results today. Good GPA, decent SOP, I don't know for the LOR. I'm so happy about it! Good luck everyone !"
ETH Zurich,Physics,Masters,"March 09, 2021",Rejected,,,,,"GPA 3.7 , best university in my hometown, 910 PGRE, excellent LoR, no research experience. Disappointed."
ETH Zurich,Physics,Masters,"March 09, 2021",Rejected,,154,,4.00,"B.E. in electronics and communication degree from a reputed institute in India, prior research experience in physics and electronics of 1 year. Prior research industry experience of 1 year. good LORs. Average grades."
ETH Zurich,"Management, Technology & Economics",Masters,"March 09, 2021",Accepted,,160,,5.50,
ETH Zurich,"Management, Technology And Economics (MTEC)",Masters,"March 09, 2021",Accepted,,,,,
ETH Zurich,Physics,Masters,"March 09, 2021",Rejected,3.91,154,,3.00,
ETH Zurich,Mathematics,Masters,"March 09, 2021",Rejected,,,,,
ETH Zurich,Physics,Masters,"March 09, 2021",Rejected,3.56,159,,4.00,A little surprised. Maybe because my courses do not satisfy their standards strictly.
,,,,,,,,,
ETH Zurich,Physics,Masters,"March 09, 2021",Rejected,3.91,,,,"Well, it is too competitive this year. Best wishes to others!"
ETH Zurich,Physics,Masters,"March 09, 2021",Rejected,,,,,"From Italy, do not fulfill requirements."
ETH Zurich,Applied Mathematics,Masters,"March 09, 2021",Rejected,3.80,,,,"Good grades from a top European University, excellent motivational letter and 2 excellent LORs. Disappointed"
ETH Zurich,"Management, Technology And Economics",Masters,"March 09, 2021",Rejected,,,,,"Super high GPA from a decent university with relevant research experience and professional experience, prepared the Letter of Motivation in one day, guess the bad quality of LoM is the main reason."
ETH Zurich,Cyber Security,Masters,"March 09, 2021",Accepted,3.81,161,,4.00,"Unfortunately rejected by CS while mercifully admitted by CybSec. Undergrad from top 4 university in China. I switched my major in freshman year, and GPA is great ever since. 2 strong LoRs and 1 paper under submission when applying. Fine GRE and Motivation Letter. Got an email to check portal at 10:00 CET March 4. Good luck to those still waiting!"
ETH Zurich,Chemistry,Masters,"March 04, 2021",Rejected,,155,,4.50,"Portal showed ""Admission and ESOP decided"" with letter showing that I have not been granted admission and will not be considered for ESOP."
